iter	Passed	Remaining
0	14	7275
1	24	6057
2	30	5090
3	40	5062
4	46	4613
5	56	4643
6	63	4471
7	70	4347
8	76	4171
9	83	4103
10	91	4058
11	96	3944
12	104	3906
13	110	3834
14	116	3755
15	125	3788
16	130	3719
17	138	3698
18	144	3647
19	150	3605
20	157	3596
21	163	3558
22	171	3566
23	177	3520
24	183	3481
25	193	3521
26	198	3480
27	207	3490
28	212	3456
29	222	3484
30	228	3449
31	235	3441
32	241	3420
33	247	3398
34	255	3400
35	261	3370
36	268	3366
37	275	3346
38	284	3357
39	289	3333
40	296	3320
41	303	3309
42	310	3304
43	319	3309
44	325	3292
45	332	3281
46	339	3274
47	347	3271
48	354	3265
49	360	3244
50	368	3242
51	374	3226
52	380	3208
53	388	3207
54	394	3192
55	401	3185
56	408	3173
57	415	3168
58	422	3155
59	428	3142
60	437	3149
61	443	3130
62	450	3125
63	456	3108
64	462	3092
65	469	3086
66	475	3073
67	483	3068
68	489	3059
69	496	3047
70	504	3046
71	510	3034
72	519	3041
73	527	3039
74	535	3031
75	541	3018
76	548	3011
77	553	2995
78	560	2986
79	567	2979
80	573	2966
81	581	2963
82	586	2948
83	593	2937
84	600	2930
85	606	2917
86	614	2915
87	619	2902
88	625	2890
89	635	2894
90	641	2881
91	647	2873
92	653	2861
93	659	2848
94	666	2843
95	673	2833
96	680	2827
97	686	2816
98	693	2808
99	699	2798
100	705	2788
101	713	2784
102	719	2771
103	724	2760
104	736	2770
105	743	2763
106	749	2752
107	755	2741
108	762	2735
109	768	2725
110	774	2714
111	781	2708
112	787	2697
113	795	2694
114	801	2682
115	806	2671
116	813	2664
117	820	2654
118	829	2654
119	834	2643
120	842	2639
121	848	2628
122	854	2617
123	861	2611
124	866	2600
125	874	2596
126	880	2587
127	887	2579
128	895	2574
129	900	2564
130	908	2558
131	914	2549
132	920	2539
133	928	2534
134	934	2526
135	941	2519
136	948	2513
137	954	2503
138	961	2497
139	973	2502
140	981	2498
141	987	2488
142	999	2494
143	1009	2496
144	1016	2487
145	1023	2481
146	1029	2472
147	1036	2464
148	1045	2461
149	1050	2451
150	1058	2445
151	1065	2438
152	1071	2430
153	1077	2420
154	1083	2412
155	1091	2406
156	1096	2396
157	1104	2390
158	1110	2380
159	1115	2371
160	1123	2365
161	1129	2356
162	1140	2358
163	1148	2352
164	1155	2345
165	1161	2336
166	1166	2326
167	1173	2319
168	1180	2311
169	1187	2304
170	1193	2295
171	1198	2286
172	1206	2280
173	1211	2270
174	1219	2265
175	1226	2257
176	1232	2248
177	1241	2246
178	1247	2237
179	1255	2231
180	1261	2224
181	1269	2217
182	1275	2209
183	1280	2199
184	1288	2193
185	1294	2184
186	1299	2175
187	1307	2170
188	1313	2161
189	1321	2155
190	1327	2147
191	1335	2142
192	1341	2134
193	1348	2127
194	1356	2121
195	1362	2112
196	1369	2106
197	1376	2099
198	1383	2091
199	1388	2083
200	1395	2075
201	1402	2069
202	1408	2061
203	1416	2054
204	1422	2046
205	1428	2038
206	1435	2032
207	1441	2023
208	1449	2017
209	1456	2011
210	1462	2002
211	1470	1997
212	1476	1989
213	1483	1982
214	1491	1976
215	1496	1967
216	1504	1962
217	1511	1955
218	1520	1951
219	1527	1944
220	1535	1938
221	1542	1930
222	1550	1926
223	1556	1917
224	1564	1911
225	1569	1903
226	1576	1896
227	1584	1890
228	1590	1882
229	1598	1875
230	1603	1867
231	1610	1859
232	1617	1853
233	1623	1845
234	1631	1839
235	1637	1831
236	1643	1823
237	1652	1818
238	1658	1810
239	1666	1805
240	1673	1798
241	1681	1792
242	1687	1784
243	1693	1776
244	1700	1769
245	1706	1761
246	1713	1755
247	1719	1747
248	1725	1739
249	1732	1732
250	1739	1725
251	1747	1719
252	1753	1712
253	1761	1705
254	1768	1698
255	1775	1692
256	1782	1685
257	1788	1677
258	1795	1670
259	1801	1662
260	1807	1655
261	1815	1649
262	1820	1640
263	1829	1635
264	1835	1627
265	1841	1619
266	1849	1613
267	1856	1607
268	1864	1601
269	1871	1594
270	1878	1587
271	1885	1580
272	1892	1573
273	1897	1565
274	1904	1558
275	1913	1553
276	1920	1545
277	1927	1538
278	1934	1532
279	1940	1524
280	1946	1516
281	1953	1510
282	1960	1503
283	1966	1495
284	1973	1488
285	1980	1482
286	1986	1474
287	1994	1468
288	2000	1460
289	2007	1453
290	2013	1445
291	2019	1438
292	2027	1432
293	2033	1425
294	2042	1419
295	2049	1412
296	2056	1405
297	2062	1398
298	2068	1390
299	2077	1384
300	2082	1376
301	2090	1370
302	2095	1362
303	2103	1356
304	2110	1349
305	2115	1341
306	2123	1334
307	2128	1326
308	2134	1319
309	2142	1312
310	2148	1305
311	2155	1299
312	2162	1291
313	2168	1284
314	2177	1278
315	2183	1271
316	2190	1264
317	2196	1257
318	2204	1250
319	2210	1243
320	2216	1236
321	2224	1229
322	2230	1222
323	2236	1215
324	2242	1207
325	2249	1200
326	2257	1194
327	2262	1186
328	2271	1180
329	2277	1173
330	2283	1165
331	2291	1159
332	2297	1152
333	2305	1145
334	2313	1139
335	2321	1133
336	2326	1125
337	2333	1118
338	2340	1111
339	2345	1103
340	2353	1097
341	2359	1090
342	2365	1082
343	2375	1077
344	2381	1069
345	2388	1063
346	2394	1055
347	2401	1048
348	2406	1041
349	2412	1033
350	2419	1027
351	2426	1020
352	2433	1013
353	2439	1005
354	2446	999
355	2453	992
356	2460	985
357	2504	993
358	2518	989
359	2534	985
360	2541	978
361	2549	971
362	2555	964
363	2562	957
364	2571	951
365	2577	943
366	2585	937
367	2591	929
368	2598	922
369	2605	915
370	2610	907
371	2618	900
372	2624	893
373	2631	886
374	2638	879
375	2644	872
376	2651	865
377	2657	857
378	2667	851
379	2672	843
380	2680	837
381	2686	829
382	2692	822
383	2701	816
384	2708	808
385	2715	801
386	2721	794
387	2728	787
388	2734	780
389	2740	772
390	2749	766
391	2755	759
392	2763	752
393	2771	745
394	2779	738
395	2784	731
396	2791	724
397	2798	717
398	2804	709
399	2812	703
400	2818	695
401	2824	688
402	2833	681
403	2840	674
404	2847	667
405	2853	660
406	2861	653
407	2867	646
408	2873	639
409	2882	632
410	2889	625
411	2898	619
412	2904	611
413	2911	604
414	2917	597
415	2925	590
416	2930	583
417	2937	576
418	2947	569
419	2955	562
420	2965	556
421	2970	549
422	2980	542
423	2986	535
424	2993	528
425	2999	520
426	3004	513
427	3013	506
428	3019	499
429	3029	493
430	3036	486
431	3043	479
432	3051	472
433	3057	465
434	3063	457
435	3070	450
436	3078	443
437	3084	436
438	3094	429
439	3101	422
440	3110	416
441	3117	409
442	3126	402
443	3132	395
444	3140	388
445	3146	381
446	3153	373
447	3163	367
448	3175	360
449	3198	355
450	3215	349
451	3224	342
452	3233	335
453	3242	328
454	3250	321
455	3257	314
456	3264	307
457	3271	300
458	3278	292
459	3284	285
460	3292	278
461	3298	271
462	3305	264
463	3312	257
464	3319	249
465	3326	242
466	3332	235
467	3340	228
468	3345	221
469	3352	214
470	3359	206
471	3364	199
472	3373	192
473	3379	185
474	3389	178
475	3395	171
476	3403	164
477	3408	156
478	3415	149
479	3428	142
480	3437	135
481	3442	128
482	3448	121
483	3456	114
484	3462	107
485	3470	99
486	3477	92
487	3483	85
488	3496	78
489	3508	71
490	3514	64
491	3525	57
492	3535	50
493	3544	43
494	3553	35
495	3559	28
496	3565	21
497	3572	14
498	3578	7
499	3586	0
